average_rate_per_night,bedrooms_count,city,date_of_listing,description,title,url
$35.00,1,McKinney,January 2017,"My place is close to restaurants and retail stores Target (3 min), Walmart (5 min), etc. Close to highway 75 and SRT 121, providing quick access to highways. You’ll love how spacious and clean it is. The second floor is entirely for guests, ensuring near full privacy. If more space is needed (extra bedrooms or couches), then please be sure to inquire! We can work out a deal. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups.",Gorgeous Spacious Home w/ Private Bedroom 1B,https://www.airbnb.com/rooms/16960117?location=Anna%2C%20TX
$100.00,Studio,Canyon,May 2017,"Basic two level cabin on a private ranch with washer, toilet, shower, and twin bed. Room on second level for sleeping bags.",Creekwood Cabin,https://www.airbnb.com/rooms/19207852?location=Amarillo%2C%20TX
$30.00,1,Austin,April 2017,"This is a peaceful, quiet place in Southwest Austin. It's surrounded by excellent restaurants and shopping, 15 minutes from South Congress and downtown. \n\nIt's the perfect place for dogs, with a big grassy area and miles of walking trails right behind the building. The pool area is always clean and quiet.\n\nThe inside is simple, clean and comfortable with great natural light. The living room is cozy with free Wifi and access to Xbox and Netflix. \n\n I'd love for you to stay here!","Peaceful, Private Condo in Southwest Austin",https://www.airbnb.com/rooms/18528747?location=Austin%2C%20TX
$131.00,2,Alpine,July 2015,Our home is rustic and Mexican style inspired. it's casual and very comfortable. It is located at the foot of the \,Relaxing home with bar & pool table,https://www.airbnb.com/rooms/17255243?location=Alpine%2C%20TX
$600.00,4,Colleyville,June 2016,"Our place is close to sports stadiums, COWBOYS restaurants , shopping, and centrally located 20 minutes to Dallas and Ft. Worth. You’ll love our home because of the amenities, location, and beautiful walking trails. On weekends there is an old western style bank robbery hold up by the railroad tracks located 1 minute from the house. Great space for family reunions or a relaxing vacation. The house has a 1,400 sq.ft patio with spectacular outdoor kitchen area by the large waterfall pool.",OUR FAMILY RESORT,https://www.airbnb.com/rooms/13567426?location=Colleyville%2C%20TX
$53.00,1,Spring,January 2016,"Located conveniently for everything in the woodlands Including the Woodlands Pavilion. We have 1 bedroom for a guest. There is street parking, kitchen access, a bathroom, laundry. A park with bike and walking trails nearby. Also two dogs who love to snuggle :)",Boho chic bedroom,https://www.airbnb.com/rooms/10409261?location=Cleveland%2C%20TX
$525.00,3,Smithville,November 2016,"The 'Rocking M Ranch' (RMR). The property is a large, rambling duplex conveniently located less than one hour from Austin and less than two hours from Houston and San Antonio. The 'Lone Star', the largest of the two homes, is the rental and offers visitors ample privacy with sole use of the pool area. The owner occupies the smaller second home. Though new to Airbnb, RMR has been a successful rental since 2012. For property reviews, visit We are... 'Real Country, Real Close'!",Secluded Home on 15 acres,https://www.airbnb.com/rooms/16163603?location=Bastrop%20County%2C%20TX
$100.00,1,Boerne,August 2014,"I have a large bedroom Suite. Private entrance, Private bath , patio, beautiful pool overlooking the gorgeous hill country for (URL HIDDEN) Fridge, coffeemaker in room, internet in room and at pool. Clothing optional poolside. Resort style property",Stunning Hill Country Estate,https://www.airbnb.com/rooms/3987617?location=Boerne%2C%20TX
$130.00,1,Early,September 2014,"Welcome! #2 - Villa #2one bedroom/one bath villa - all bills paid, furnished, perfect place for one or two people, queen size bed, large couch, small fridge, microwave, hot plate, toaster oven, huge tile shower, free WiFi, and Direct TV. As host who own and live on the property, we try to be welcoming and responsive. We will also respect your privacy and never intrude, either your space or your time. Enjoy the unique 3-Plex Villas.",Upscale 3-plex Extended Stay #2 Villa Apartment,https://www.airbnb.com/rooms/4132832?location=Cisco%2C%20TX
$245.00,3,Horseshoe Bay,February 2016,"*Dynamic Inventory* - INQUIRE FIRST-\n\n*There maybe a cleaning fee of $100 if the booking request is for 5 days or less.*\n\nThree Bedroom: King in master, two full beds in second bedroom, king in third bedroom, sleeper sofa in living area. Maximum occupancy is 10.\n\nHigh season rates are higher than whats listed on the calendar;\n\nWeekends : $360/night\nWeekday : $300/night\n\nThe current rate on the calendar will be valid if the booking request is within 5 days of arrival.",Marble Falls - 3BR,https://www.airbnb.com/rooms/17760247?location=Bertram%2C%20TX
$98.00,3,San Antonio,February 2013,"Memorial Holiday is almost upon us. Here is to a wonderful 2017 in San Antonio!!\n\nThe Texas Blue Bell is a 2012 stucco two story home in the beautiful, quiet Summerwood private community. This spectacular location is right next door to the nationally recognized Medical Center of San Antonio. \n\nWe look forward to your visit.",Texas Blue Bell in Medical Center,https://www.airbnb.com/rooms/16758012?location=Bulverde%2C%20TX
$391.00,2,Corpus Christi,December 2015,Village by the Beach I912 is first class living on the Texas Gulf Coast - Come stay and enjoy one of the luxurious Village by the Beach rental properties.,Village by the Beach I912,https://www.airbnb.com/rooms/13806361?location=Baffin%20Bay%2C%20TX
$27.00,1,Arlington,March 2017,"My place is is good for couples, solo adventurers, and business travelers and also close to \nAT&amp;T Stadium- 6 min drive\nSix Flags Amusement Park- 10 min drive\nSix Flags Hurricane Harbor Waterpark- 10 min drive\nDFW Airport-20 min drive",Cozy Comfy Apt Close to Everywhere + Free Parking,https://www.airbnb.com/rooms/17574721?location=Arlington%2C%20TX
$500.00,2,Dallas,January 2015,"Perfect 2 bed 2 bath by Top Golf, Lake and the best mall in Dallas North Park! Memory foam bedding and large bathrooms. Very well appointed and luxurious. Search no more you've found the perfect place!",Luxury Holiday Home in ❤of Dallas,https://www.airbnb.com/rooms/15397663?location=Addison%2C%20TX
$349.00,3,Corpus Christi,February 2016,"*No hidden fees. All utilities included.\n*Roomy, very clean 3 bedroom/3 bath town home w/ Master down\n*2 reserved parking spots at door. \n* Resort pool with grills, picnic tables &amp; play area. \n* Close to beaches &amp; Schlitterbahn. \n* National Seashore, Corpus Christi, Rockport, Port Aransas a short drive away. \n* Boating, fishing, eateries, museums, shopping, concert halls, award winning Aquarium, AA baseball, sightseeing, horseback riding on the beach!",Gull Cottage -1 Mile To Beach - LocalTax Included,https://www.airbnb.com/rooms/14490074?location=Aransas%20Pass%2C%20TX
$37.00,1,Plano,March 2016,- Furniture in the bedroom was purchased in Oct 2016\n- Bed sheets are washed before new guests arrive\n- Clean towels provided daily\n- Bathroom is frequently cleaned\n- DFW Airport is 26mi and Love Field Airport is 22mi away\n- Large table in separate room for dinning or working\n- Jack and Jill bathroom\n- High speed wifi internet\n- Free coffee (Keurig) \n- Home is in safe neighborhood with security system,Simmons Beautyrest King Bed,https://www.airbnb.com/rooms/15469567?location=Allen%2C%20TX
$175.00,3,Point Venture,May 2015,"The lake is full! Enjoy lakeviews! Point Venture in this Silverton Custom Home built in 2004. There is plenty to do from the enjoying the clear blue water of Lake Travis at the PV park, PV pool, the golf course or tennis on one of six courts.",Kamp King Lakeview of Lake Travis,https://www.airbnb.com/rooms/6290179?location=Bee%20Cave%2C%20TX
$36.00,1,Austin,March 2016,"My place is close to parks, public transport, moon tower saloon, strange brew, farmers market on sat. morning. You’ll love my place because of the comfy bed (queen organic cotton w/ tempur-pedic topper), the ambiance, the outdoor space, non toxic indoor air. My place is good for solo adventurers and business travelers.",You can have the red room,https://www.airbnb.com/rooms/13361970?location=Austin%2C%20TX
$26.00,1,Denton,November 2014,"VERY IMPORTANT that you know before booking that this is NOT a room. This listing is for a private and quiet pad site to park your RV or camper with connections for water, sewer, &amp; 50 or 20 amp service(see pictures). There is no access to the main house.\n\nLess than 2 miles to Denton downtown square. Nearby shopping, restaurants, &amp; a lovely public park. Very close to UNT, Apogee stadium, &amp; Interstate 35.",Private RV & Camper Site Near Downtown Denton,https://www.airbnb.com/rooms/15257801?location=Corinth%2C%20TX
$32.00,1,Manor,February 2016,"Guest Room and Closet with Private 4 piece bathroom, Washer/Dryer, Full Kitchen, Large Backyard, Quite Neighborhood, Street Parking.\n\n20 Minutes from Airport\n25 Minutes From Down-Town Austin (SXSW Venues)\n\nOwner lives onsite.",One Room & Private Bathroom,https://www.airbnb.com/rooms/11509089?location=Coupland%2C%20TX
$115.00,3,Universal City,March 2013,A 2 story Cozy Coventry-Styled home nestled in a cul-de-sac in an upscale neighborhood walking distance to the Olympia Golf Course! Universal City ( only 15 minutes to San Antonio International Airport) is the Gateway to Randolph Air Force Base. It's minutes to Retama Park (a horse racing track).,The Randolph Aviator PIT Pad,https://www.airbnb.com/rooms/6977015?location=Converse%2C%20TX
$900.00,3,Austin,October 2013,Brand new fully furnished home located minutes from the track. Spacious 3 bedroom and 2.5 bath. Sleeps 8 comfortably. Large open living room and kitchen. Outside deck with gas grill. Kegerator also included.,5 miles from Formula 1 Track,https://www.airbnb.com/rooms/1809983?location=Bastrop%20County%2C%20TX
$65.00,1,Arlington,June 2016,"My place is close to AT&amp;T Stadium, Texas Rangers Stadium, Six-Flags, DFW Airport, Love Field Airport, The Highlands Shopping Mall.. You’ll love my place because it is situated between Dallas and Ft Worth, is very clean and cozy, and you will have it all to yourself. My place is good for couples, solo adventurers, and business travelers.",Arlington Apartment near Cowboys Stadium,https://www.airbnb.com/rooms/13397017?location=Arlington%2C%20TX
$295.00,3,Austin,September 2012,"Large, affordable 3/2 condo - a short walk to great restaurants, 4 bar districts, shopping, mass transit, The convention center, music venues, hike and bike trails, and all the major downtown hotels. Perfect for business travelers or just a leisure visit to Austin. : See full description below; concierge service available)",Perfect 4 Executives/Professionals,https://www.airbnb.com/rooms/690984?location=Colorado%20River%2C%20TX
$25.00,1,Katy,May 2017,"Cozy clean space in a beautiful house, set in a serene neighborhood.",Joshua's Place III,https://www.airbnb.com/rooms/18763755?location=Cinco%20Ranch%2C%20TX
$190.00,1,New Ulm,February 2011,"This cabin is surrounded by woods and wildlife. It faces a spring-fed pond, on 59 acres of woodland trails. Perfect in every season, the cabin offers luxury in serene surroundings where donkeys, horse, longhorns, &amp; oreo boy wonder by: transforming!","Lily Ponds Cottage, natural wonder!",https://www.airbnb.com/rooms/72003?location=Columbus%2C%20TX
$75.00,1,Benbrook,June 2016,"We are minutes from Fort Worth cultural district, fine and casual dining, bike, hike trails and shopping. Family- friendly activities: walking and bike trails, swimming, bowling, laser tag, cultural district, stock yards, zoo, museums and much more. Nightlife includes: finest eateries, piano bars, music (Bass Hall productions), and dancing ( Billy Bobs) in the South!",R&P's Southern Comfort,https://www.airbnb.com/rooms/13575369?location=Burleson%2C%20TX
$325.00,1,Pflugerville,November 2016,We made our home special by creating a beautiful sanctuary with our own decorating style. We have an open are concept home. Our kitchen is fully equipped with anything you would need to create a beautiful dinner for your significant other or family. Our rooms are extremely large and we have provided toiletries for the bathrooms and bowls and beds for the dogs. We have a large backyard where you can grill for family and friends. This is our loving property.,Beautiful & Quiet Pflugerville Home,https://www.airbnb.com/rooms/16918523?location=Coupland%2C%20TX
